Entry	Feature	Location	Qualifier	Value
			locus_tag	HBIAX_04558
			EC_number	3.5.2.9
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q7WY77
			codon_start	1
			transl_table	11
			product	5-oxoprolinase subunit C
				
	CDS	complement(4975685..4976419)	gene	pxpB_2
			locus_tag	HBIAX_04559
			EC_number	3.5.2.9
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P60495
			codon_start	1
			transl_table	11
			product	5-oxoprolinase subunit B
				
	CDS	complement(4976444..4976875)	locus_tag	HBIAX_04560
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	4977017..4977892	gene	cmpR_9
			locus_tag	HBIAX_04561
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q9F1R2
			codon_start	1
			transl_table	11
			product	HTH-type transcriptional activator CmpR
				
	CDS	4978000..4978578	locus_tag	HBIAX_04562
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(4978703..4979902)	gene	serA
			locus_tag	HBIAX_04563
			EC_number	1.1.1.95
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0A9T0
			codon_start	1
			transl_table	11
			product	D-3-phosphoglycerate dehydrogenase
				
	CDS	complement(4980049..4980525)	locus_tag	HBIAX_04564
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(4980544..4981710)	gene	copB
			locus_tag	HBIAX_04565
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P12375
			codon_start	1
			transl_table	11
			product	Copper resistance protein B
				
	CDS	complement(4981714..4983555)	gene	copA
			locus_tag	HBIAX_04566
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P12374
			codon_start	1
			transl_table	11
			product	Copper resistance protein A
				
	CDS	complement(4983574..4984068)	locus_tag	HBIAX_04567
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(4984143..4985543)	gene	cusS
			locus_tag	HBIAX_04568
			EC_number	2.7.13.3
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P77485
			codon_start	1
			transl_table	11
			product	Sensor histidine kinase CusS
				
	CDS	complement(4985540..4986226)	gene	czcR_2
			locus_tag	HBIAX_04569
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q44006
			codon_start	1
			transl_table	11
			product	Transcriptional activator protein CzcR
				
	CDS	complement(4986291..4987598)	gene	phoR
			locus_tag	HBIAX_04570
			EC_number	2.7.13.3
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P08400
			codon_start	1
			transl_table	11
			product	Phosphate regulon sensor protein PhoR
				
	CDS	complement(4987611..4988309)	gene	phoB
			locus_tag	HBIAX_04571
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0AFJ5
			codon_start	1
			transl_table	11
			product	Phosphate regulon transcriptional regulatory protein PhoB
				
	CDS	4988471..4989247	gene	ubiE
			locus_tag	HBIAX_04572
			EC_number	2.1.1.163
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0A887
			codon_start	1
			transl_table	11
			product	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
				
	CDS	4989425..4990423	locus_tag	HBIAX_04573
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	4990618..4991256	gene	ubiJ
			locus_tag	HBIAX_04574
			inference	ab initio prediction:Prodigal:002006
			inference	protein motif:HAMAP:MF_02215
			codon_start	1
			transl_table	11
			product	Ubiquinone biosynthesis accessory factor UbiJ
				
	CDS	4991260..4992813	gene	ubiB
			locus_tag	HBIAX_04575
			EC_number	2.7.-.-
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0A6A0
			codon_start	1
			transl_table	11
			product	putative protein kinase UbiB
				
	CDS	4992995..4993873	locus_tag	HBIAX_04576
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	4993963..4994451	locus_tag	HBIAX_04577
			EC_number	2.7.7.70
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q7WF17
			codon_start	1
			transl_table	11
			product	D-beta-D-heptose 1-phosphate adenylyltransferase
				
	CDS	complement(4994464..4995795)	gene	tolC_2
			locus_tag	HBIAX_04578
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P02930
			codon_start	1
			transl_table	11
			product	Outer membrane protein TolC
				
	CDS	complement(4995894..4996574)	gene	pcm_2
			locus_tag	HBIAX_04579
			EC_number	2.1.1.77
			inference	ab initio prediction:Prodigal:002006
			inference	protein motif:HAMAP:MF_00090
			codon_start	1
			transl_table	11
			product	Protein-L-isoaspartate O-methyltransferase
				
	CDS	complement(4996716..4997558)	gene	thiD_1
			locus_tag	HBIAX_04580
			EC_number	2.7.1.49
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P76422
			codon_start	1
			transl_table	11
			product	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
				
	CDS	complement(4997555..4998364)	gene	thiG
			locus_tag	HBIAX_04581
			EC_number	2.8.1.10
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q9I6B4
			codon_start	1
			transl_table	11
			product	Thiazole synthase
				
	CDS	complement(4998619..4999527)	gene	btuF
			locus_tag	HBIAX_04582
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:A5F5P5
			codon_start	1
			transl_table	11
			product	Vitamin B12-binding protein
				
	CDS	complement(4999583..5001628)	gene	btuB_5
			locus_tag	HBIAX_04583
			inference	ab initio prediction:Prodigal:002006
			inference	protein motif:HAMAP:MF_01531
			codon_start	1
			transl_table	11
			product	Vitamin B12 transporter BtuB
				
	CDS	5002048..5005851	gene	metH
			locus_tag	HBIAX_04584
			EC_number	2.1.1.13
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P13009
			codon_start	1
			transl_table	11
			product	Methionine synthase
				
	CDS	5006030..5006758	gene	lutR_6
			locus_tag	HBIAX_04585
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:O07007
			codon_start	1
			transl_table	11
			product	HTH-type transcriptional regulator LutR
				
	CDS	5006853..5007719	locus_tag	HBIAX_04586
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	5007852..5008685	locus_tag	HBIAX_04587
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	5008698..5009735	gene	idnD
			locus_tag	HBIAX_04588
			EC_number	1.1.1.264
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P39346
			codon_start	1
			transl_table	11
			product	L-idonate 5-dehydrogenase (NAD(P)(+))
				
	CDS	5009767..5010432	gene	artQ
			locus_tag	HBIAX_04589
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P54536
			codon_start	1
			transl_table	11
			product	Arginine transport system permease protein ArtQ
				
	CDS	5010429..5011088	gene	glnP_2
			locus_tag	HBIAX_04590
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0AEQ6
			codon_start	1
			transl_table	11
			product	Glutamine transport system permease protein GlnP
				
	CDS	5011094..5011945	gene	glnQ_12
			locus_tag	HBIAX_04591
			EC_number	3.6.3.-
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:O34677
			codon_start	1
			transl_table	11
			product	Glutamine transport ATP-binding protein GlnQ
				
	CDS	5011974..5013185	locus_tag	HBIAX_04592
			EC_number	4.2.1.8
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:A5V6Z0
			codon_start	1
			transl_table	11
			product	D-mannonate dehydratase
				
	CDS	5013173..5014735	gene	mtlK
			locus_tag	HBIAX_04593
			EC_number	1.1.1.67
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P33216
			codon_start	1
			transl_table	11
			product	Mannitol 2-dehydrogenase
				
	CDS	complement(5014767..5016212)	gene	mdlY
			locus_tag	HBIAX_04594
			EC_number	3.5.1.86
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q84DC4
			codon_start	1
			transl_table	11
			product	Mandelamide hydrolase
				
	CDS	5016421..5017248	locus_tag	HBIAX_04595
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(5017298..5018365)	gene	mutY
			locus_tag	HBIAX_04596
			EC_number	3.2.2.31
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P17802
			codon_start	1
			transl_table	11
			product	Adenine DNA glycosylase
				
	CDS	5018536..5022147	locus_tag	HBIAX_04597
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(5022241..5022930)	locus_tag	HBIAX_04598
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	5023224..5024195	gene	cdhR_6
			locus_tag	HBIAX_04599
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q9HTH5
			codon_start	1
			transl_table	11
			product	HTH-type transcriptional regulator CdhR
				
	CDS	complement(5024208..5024984)	gene	cheD
			locus_tag	HBIAX_04600
			EC_number	3.5.1.44
			inference	ab initio prediction:Prodigal:002006
			inference	protein motif:HAMAP:MF_01440
			codon_start	1
			transl_table	11
			product	Chemoreceptor glutamine deamidase CheD
				
	CDS	complement(5025400..5026308)	gene	ftsX
			locus_tag	HBIAX_04601
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0AC30
			codon_start	1
			transl_table	11
			product	Cell division protein FtsX
				
	CDS	complement(5026305..5027018)	gene	ftsE
			locus_tag	HBIAX_04602
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0A9R7
			codon_start	1
			transl_table	11
			product	Cell division ATP-binding protein FtsE
				
	CDS	5027334..5028350	gene	yhdW_7
			locus_tag	HBIAX_04603
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P45766
			codon_start	1
			transl_table	11
			product	Putative amino-acid ABC transporter-binding protein YhdW
				
	CDS	5028476..5029666	locus_tag	HBIAX_04604
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	5029668..5030771	gene	yhdY_3
			locus_tag	HBIAX_04605
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P45768
			codon_start	1
			transl_table	11
			product	Inner membrane amino-acid ABC transporter permease protein YhdY
				
	CDS	5030832..5031572	gene	glnQ_13
			locus_tag	HBIAX_04606
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P27675
			codon_start	1
			transl_table	11
			product	Glutamine transport ATP-binding protein GlnQ
				
	CDS	5031788..5032804	locus_tag	HBIAX_04607
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:B3EWP1
			note	UPF0065 protein in clcB-clcD intergenic region
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(5032900..5033259)	locus_tag	HBIAX_04608
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	5033345..5033707	locus_tag	HBIAX_04609
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(5033738..5034430)	gene	livF_17
			locus_tag	HBIAX_04610
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P22731
			codon_start	1
			transl_table	11
			product	High-affinity branched-chain amino acid transport ATP-binding protein LivF
				
	CDS	complement(5034430..5035185)	gene	frcA
			locus_tag	HBIAX_04611
			EC_number	7.5.2.-
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q9F9B0
			codon_start	1
			transl_table	11
			product	Fructose import ATP-binding protein FrcA
				
	CDS	complement(5035178..5036146)	locus_tag	HBIAX_04612
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(5036154..5037068)	gene	livH_15
			locus_tag	HBIAX_04613
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0AEX7
			codon_start	1
			transl_table	11
			product	High-affinity branched-chain amino acid transport system permease protein LivH
				
	CDS	complement(5037084..5038259)	locus_tag	HBIAX_04614
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(5038286..5039509)	gene	mhbM
			locus_tag	HBIAX_04615
			EC_number	1.14.13.24
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q5EXK1
			codon_start	1
			transl_table	11
			product	3-hydroxybenzoate 6-hydroxylase
				
	CDS	complement(5039529..5040881)	locus_tag	HBIAX_04616
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
				
	CDS	complement(5040969..5041973)	locus_tag	HBIAX_04617
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:B3EWP1
			note	UPF0065 protein in clcB-clcD intergenic region
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
				
	CDS	complement(5041966..5042364)	locus_tag	HBIAX_04618
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(5042361..5042999)	gene	nagL_2
			locus_tag	HBIAX_04619
			EC_number	5.2.1.4
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:O86043
			codon_start	1
			transl_table	11
			product	Maleylpyruvate isomerase
				
	CDS	complement(5043012..5043710)	gene	nagK_2
			locus_tag	HBIAX_04620
			EC_number	3.7.1.20
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:O86042
			codon_start	1
			transl_table	11
			product	Fumarylpyruvate hydrolase
				
	CDS	complement(5043771..5044823)	gene	sdgD_2
			locus_tag	HBIAX_04621
			EC_number	1.13.11.4
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q7X284
			codon_start	1
			transl_table	11
			product	"Gentisate 1,2-dioxygenase"
				
	CDS	5044993..5045928	gene	gbpR_7
			locus_tag	HBIAX_04622
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P52661
			codon_start	1
			transl_table	11
			product	HTH-type transcriptional regulator GbpR
				
	CDS	5045928..5046494	locus_tag	HBIAX_04623
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(5046538..5048061)	gene	glpK_2
			locus_tag	HBIAX_04624
			EC_number	2.7.1.30
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0A6F3
			codon_start	1
			transl_table	11
			product	Glycerol kinase
				
	CDS	complement(5048048..5049430)	gene	hsrA
			locus_tag	HBIAX_04625
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P31474
			codon_start	1
			transl_table	11
			product	putative transport protein HsrA
				
	CDS	5049601..5049789	locus_tag	HBIAX_04626
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	5049806..5050696	gene	scpA
			locus_tag	HBIAX_04627
			inference	ab initio prediction:Prodigal:002006
			inference	protein motif:HAMAP:MF_01805
			codon_start	1
			transl_table	11
			product	Segregation and condensation protein A
				
	CDS	5050737..5051591	gene	panC
			locus_tag	HBIAX_04628
			EC_number	6.3.2.1
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q2T095
			codon_start	1
			transl_table	11
			product	Pantothenate synthetase
				
	CDS	5051720..5052121	locus_tag	HBIAX_04629
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(5052254..5053030)	locus_tag	HBIAX_04630
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	5053212..5054069	gene	outO
			locus_tag	HBIAX_04631
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P31712
			codon_start	1
			transl_table	11
			product	Type 4 prepilin-like proteins leader peptide-processing enzyme
				
	CDS	5054143..5054790	gene	coaE
			locus_tag	HBIAX_04632
			EC_number	2.7.1.24
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0A6I9
			codon_start	1
			transl_table	11
			product	Dephospho-CoA kinase
				
	CDS	5054815..5055585	gene	zapD
			locus_tag	HBIAX_04633
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q87LT3
			codon_start	1
			transl_table	11
			product	Cell division protein ZapD
				
	CDS	5055724..5057001	gene	mdtA_2
			locus_tag	HBIAX_04634
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P76397
			codon_start	1
			transl_table	11
			product	Multidrug resistance protein MdtA
				
	CDS	5057017..5060115	gene	mdtB_2
			locus_tag	HBIAX_04635
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:B7NQB1
			codon_start	1
			transl_table	11
			product	Multidrug resistance protein MdtB
				
	CDS	5060112..5063225	gene	mdtC_2
			locus_tag	HBIAX_04636
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:B1LNW5
			codon_start	1
			transl_table	11
			product	Multidrug resistance protein MdtC
				
	CDS	5063222..5064778	gene	oprM_6
			locus_tag	HBIAX_04637
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q51487
			codon_start	1
			transl_table	11
			product	Outer membrane protein OprM
				
	CDS	5064985..5065986	locus_tag	HBIAX_04638
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:B3EWP1
			note	UPF0065 protein in clcB-clcD intergenic region
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(5066062..5067315)	gene	dadA1_3
			locus_tag	HBIAX_04639
			EC_number	1.4.99.-
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q9HTQ0
			codon_start	1
			transl_table	11
			product	D-amino acid dehydrogenase 1
				
	CDS	complement(5067366..5068865)	gene	dan_2
			locus_tag	HBIAX_04640
			EC_number	3.5.1.81
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P72349
			codon_start	1
			transl_table	11
			product	D-aminoacylase
				
	CDS	complement(5068873..5069538)	locus_tag	HBIAX_04641
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(5069525..5070454)	locus_tag	HBIAX_04642
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(5070464..5071363)	gene	sugB
			locus_tag	HBIAX_04643
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P9WG01
			codon_start	1
			transl_table	11
			product	Trehalose transport system permease protein SugB
				
	CDS	complement(5071353..5072297)	gene	ugpA_3
			locus_tag	HBIAX_04644
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P10905
			codon_start	1
			transl_table	11
			product	sn-glycerol-3-phosphate transport system permease protein UgpA
				
	CDS	complement(5072294..5073415)	gene	sugC
			locus_tag	HBIAX_04645
			EC_number	3.6.3.-
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P9WQI3
			codon_start	1
			transl_table	11
			product	Trehalose import ATP-binding protein SugC
				
	CDS	complement(5073420..5074856)	locus_tag	HBIAX_04646
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(5075155..5076117)	gene	thiE_1
			locus_tag	HBIAX_04647
			EC_number	2.5.1.3
			inference	ab initio prediction:Prodigal:002006
			inference	protein motif:HAMAP:MF_00097
			codon_start	1
			transl_table	11
			product	Thiamine-phosphate synthase
				
	CDS	complement(5076110..5076976)	locus_tag	HBIAX_04648
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(5077277..5078503)	gene	argJ
			locus_tag	HBIAX_04649
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q07908
			codon_start	1
			transl_table	11
			product	Arginine biosynthesis bifunctional protein ArgJ
				
	CDS	complement(5078625..5079665)	locus_tag	HBIAX_04650
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	complement(5079776..5080270)	locus_tag	HBIAX_04651
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	5080531..5081694	locus_tag	HBIAX_04652
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	5081844..5082764	gene	livH_16
			locus_tag	HBIAX_04653
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P0AEX7
			codon_start	1
			transl_table	11
			product	High-affinity branched-chain amino acid transport system permease protein LivH
				
	CDS	5082767..5083732	locus_tag	HBIAX_04654
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	5083729..5084529	gene	lptB_10
			locus_tag	HBIAX_04655
			EC_number	3.6.3.-
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P45073
			codon_start	1
			transl_table	11
			product	Lipopolysaccharide export system ATP-binding protein LptB
				
	CDS	5084529..5085233	gene	livF_18
			locus_tag	HBIAX_04656
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P22731
			codon_start	1
			transl_table	11
			product	High-affinity branched-chain amino acid transport ATP-binding protein LivF
				
	CDS	5085451..5087445	locus_tag	HBIAX_04657
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	5087469..5088008	locus_tag	HBIAX_04658
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	5088047..5088424	locus_tag	HBIAX_04659
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q02UQ8
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	5088421..5089218	locus_tag	HBIAX_04660
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	5089258..5091834	gene	dosP
			locus_tag	HBIAX_04661
			EC_number	3.1.4.52
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P76129
			codon_start	1
			transl_table	11
			product	Oxygen sensor protein DosP
				
	CDS	5092891..5095242	gene	namA_3
			locus_tag	HBIAX_04662
			EC_number	1.6.99.1
			inference	ab initio prediction:Prodigal:002006
			inference	protein motif:HAMAP:MF_01614
			codon_start	1
			transl_table	11
			product	NADPH dehydrogenase
				
	CDS	5095239..5096030	gene	fabG_15
			locus_tag	HBIAX_04663
			EC_number	1.1.1.100
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:O67610
			codon_start	1
			transl_table	11
			product	3-oxoacyl-[acyl-carrier-protein] reductase FabG
				
	CDS	5096068..5096925	locus_tag	HBIAX_04664
			EC_number	4.2.1.17
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P9WNN7
			codon_start	1
			transl_table	11
			product	putative enoyl-CoA hydratase echA12
				
	CDS	5096925..5098097	locus_tag	HBIAX_04665
			EC_number	1.3.99.-
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P9WQG1
			codon_start	1
			transl_table	11
			product	putative acyl-CoA dehydrogenase fadE25
				
	CDS	5098160..5099800	gene	bclA_2
			locus_tag	HBIAX_04666
			EC_number	6.2.1.25
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q8GQN9
			codon_start	1
			transl_table	11
			product	Benzoate--CoA ligase
				
	CDS	5099821..5100246	locus_tag	HBIAX_04667
			EC_number	3.1.2.28
			inference	ab initio prediction:Prodigal:002006
			inference	protein motif:HAMAP:MF_02101
			codon_start	1
			transl_table	11
			product	"1,4-dihydroxy-2-naphthoyl-CoA hydrolase"
				
	CDS	5100299..5100703	gene	yabJ_3
			locus_tag	HBIAX_04668
			EC_number	3.5.99.10
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P37552
			codon_start	1
			transl_table	11
			product	2-iminobutanoate/2-iminopropanoate deaminase
				
	CDS	complement(5101179..5102165)	locus_tag	HBIAX_04669
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	5102428..5103615	locus_tag	HBIAX_04670
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	5103647..5104891	locus_tag	HBIAX_04671
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	5104901..5106244	gene	antA_1
			locus_tag	HBIAX_04672
			EC_number	1.14.12.1
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:O85673
			codon_start	1
			transl_table	11
			product	"Anthranilate 1,2-dioxygenase large subunit"
				
	CDS	5106235..5106768	gene	hcaF
			locus_tag	HBIAX_04673
			EC_number	1.14.12.19
			inference	ab initio prediction:Prodigal:002006
			inference	protein motif:HAMAP:MF_01649
			codon_start	1
			transl_table	11
			product	3-phenylpropionate/cinnamic acid dioxygenase subunit beta
				
	CDS	5106765..5107376	gene	rutB_1
			locus_tag	HBIAX_04674
			EC_number	3.5.1.110
			inference	ab initio prediction:Prodigal:002006
			inference	protein motif:HAMAP:MF_00830
			codon_start	1
			transl_table	11
			product	Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
				
	CDS	5107391..5108197	gene	fabG_16
			locus_tag	HBIAX_04675
			EC_number	1.1.1.100
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:Q9KQH7
			codon_start	1
			transl_table	11
			product	3-oxoacyl-[acyl-carrier-protein] reductase FabG
				
	CDS	complement(5108230..5109957)	locus_tag	HBIAX_04676
			inference	ab initio prediction:Prodigal:002006
			codon_start	1
			transl_table	11
			product	hypothetical protein
				
	CDS	5110265..5111008	gene	mltF_4
			locus_tag	HBIAX_04677
			EC_number	4.2.2.-
			inference	ab initio prediction:Prodigal:002006
			inference	protein motif:HAMAP:MF_02016
			codon_start	1
			transl_table	11
			product	Membrane-bound lytic murein transglycosylase F
				
	CDS	complement(5111107..5112384)	gene	hemL
			locus_tag	HBIAX_04678
			EC_number	5.4.3.8
			inference	ab initio prediction:Prodigal:002006
			inference	similar to AA sequence:UniProtKB:P48247
			codon_start	1
			transl_table	11
